,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,RCB,OPM,se,AB_P,FC_P,entao,por,fimse,repita,fimrepita,fim,OPR,EOF
0,1,,,,,,,,,,,,,,,,,,,S2,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
1,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,e1,e1,e1,e1,e1,et15,et16,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,acc
2,,3,,,,,,,,,,,,,,,,,,et1/e1,S4,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/et15,et1/et16,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1,et1/e1
3,,,,,,,5,6,,7,,,8,14,,,9,15,,e1,e1,e1,e1,S13,e1,e1,e1,e1,S11,S12,e1,e1,e1,e1,S16,e1,e1,e1,e1,e1,S17,e1,S10,e1,e1
4,,,18,19,,21,,,,,,,,,,,,,,e1/et19,e1/et19,S20,e1/et19,e1/et19,e1/et19,S22,S23,S24,e1/et15,e1/et16,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19
5,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,e1,e1,e1,e1,e1,et15,et16,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,R2
6,,,,,,,25,6,,7,,,8,14,,,9,15,,e1,e1,e1,e1,S13,e1,e1,e1,e1,S11,S12,e1,e1,e1,e1,S16,e1,e1,e1,e1,e1,S17,e1,S10,e1,e1
7,,,,,,,26,6,,7,,,8,14,,,9,15,,e1,e1,e1,e1,S13,e1,e1,e1,e1,S11,S12,e1,e1,e1,e1,S16,e1,e1,e1,e1,e1,S17,e1,S10,e1,e1
8,,,,,,,27,6,,7,,,8,14,,,9,15,,e1,e1,e1,e1,S13,e1,e1,e1,e1,S11,S12,e1,e1,e1,e1,S16,e1,e1,e1,e1,e1,S17,e1,S10,e1,e1
9,,,,,,,28,6,,7,,,8,14,,,9,15,,e1,e1,e1,e1,S13,e1,e1,e1,e1,S11,S12,e1,e1,e1,e1,S16,e1,e1,e1,e1,e1,S17,e1,S10,e1,e1
