,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,RCB,OPM,se,AB_P,FC_P,entao,por,fimse,repita,fimrepita,fim,OPR,EOF
0,1,,,,,,,,,,,,,,,,,,,S2,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
1,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,acc
2,,3,,,,,,,,,,,,,,,,,,erro,S4,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
3,,,,,,,5,6,,7,,,8,14,,,9,15,,erro,erro,erro,erro,S13,erro,erro,erro,erro,S11,S12,erro,erro,erro,erro,S16,erro,erro,erro,erro,erro,S17,erro,S10,erro,erro
4,,,18,19,,21,,,,,,,,,,,,,,erro,erro,S20,erro,erro,erro,S22,S23,S24,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
5,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R2
6,,,,,,,25,6,,7,,,8,14,,,9,15,,erro,erro,erro,erro,S13,erro,erro,erro,erro,S11,S12,erro,erro,erro,erro,S16,erro,erro,erro,erro,erro,S17,erro,S10,erro,erro
7,,,,,,,26,6,,7,,,8,14,,,9,15,,erro,erro,erro,erro,S13,erro,erro,erro,erro,S11,S12,erro,erro,erro,erro,S16,erro,erro,erro,erro,erro,S17,erro,S10,erro,erro
8,,,,,,,27,6,,7,,,8,14,,,9,15,,erro,erro,erro,erro,S13,erro,erro,erro,erro,S11,S12,erro,erro,erro,erro,S16,erro,erro,erro,erro,erro,S17,erro,S10,erro,erro
9,,,,,,,28,6,,7,,,8,14,,,9,15,,erro,erro,erro,erro,S13,erro,erro,erro,erro,S11,S12,erro,erro,erro,erro,S16,erro,erro,erro,erro,erro,S17,erro,S10,erro,erro
10,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R39
11,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,S29,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
12,,,,,,,,,30,,,,,,,,,,,erro,erro,erro,erro,S33,erro,erro,erro,erro,erro,erro,S31,S32,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
13,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S34,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
14,,,,,,,,36,,37,,,38,14,,35,,,,erro,erro,erro,erro,S13,erro,erro,erro,erro,S11,S12,erro,erro,erro,erro,S16,erro,erro,erro,erro,S39,erro,erro,erro,erro,erro
15,,,,,,,,41,,42,,,43,14,,,,,40,erro,erro,erro,erro,S13,erro,erro,erro,erro,S11,S12,erro,erro,erro,erro,S16,erro,erro,erro,erro,erro,erro,S47,erro,erro,erro
16,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S44,erro,erro,erro,erro,erro,erro,erro,erro,erro
17,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S45,erro,erro,erro,erro,erro,erro,erro,erro,erro
18,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,R3,erro,erro,erro,erro,R3,R3,erro,erro,erro,erro,R3,erro,erro,erro,erro,erro,R3,erro,R3,erro,erro
